CODE|LN|NOTE
419|1|WRX STI
420|1|2.5I, WRX
421|1|Measurement Includes backing plate.
422|1|Measurement Includes backing plate.
423|1|Measurement Includes backing plate.
424|1|Measurement Includes backing plate.
425|1|PPV model
426|1|W/O HSV Package
427|1|W/ HSV Package
428|1|W/ 2-Door
429|1|W/ 4-Door
430|1|Measured above rivet head or backing plate.
431|1|Measured without backing plate.
432|1|Measured without backing plate.
433|1|4WD
434|1|Measurement Includes backing plate.
435|1|W/ FNR G60
436|1|W/ FN-3
437|1|W/ C43
438|1|W/ C41
439|1|Measurement  Includes backing plate.
440|1|W/ 2FNR 42 AL
441|1|W/O 1LT Package
442|1|W/ 1LT Package
443|1|W/ Riveted linings
444|1|W/ Bonded linings
445|1|W/ Riveted linings above rivet head or backing plate.
446|1|W/ Bonded linings above rivet head or backing plate.
447|1|W/ 2.8L
448|1|W/ 3.0L
449|1|Hybrid
450|1|Gas
451|1|Diesel
452|1|Inner or Outer
453|1|Inner
454|1|GTI model
455|1|Except GTI model
456|1|2WD
457|1|W/ 2WD if equipped with aluminum wheels, 65-80 ft-lbs.
458|1|W/ 2WD With cone type nut & 9/16-18 threads, 120-150 ft-lbs.
458|2|With flanged nut, 130-160 ft-lbs.
459|1|W/ 2WD 5-lug 1/2", 100. 5-lug 9/16", 120.
459|2|6-lug, steel whl., 90. 8-lug SRW, 120. 8-lug DRW, 140.
460|1|W/ 2WD if equipped with aluminum wheels, 90.
461|1|W 2WD if equipped with optional wheels, 100.
462|1|W/ 2WD if equipped with aluminum wheels, 87
463|1|W/ 2WD if equipped with styled wheels, 87-101.
464|1|W/ 2WD 12mm, 100 ft-lbs. 14mm, 150 ft-lbs
465|1|W/ 2WD loaded Vehicle, 165 ft-lbs.
466|1|W/ 4WD if equipped with aluminum wheels, 65-80 ft-lbs.
467|1|W/ 4WD With cone type nut & 9/16-18 threads, 120-150 ft-lbs.
467|2|With flanged nut, 130-160 ft-lbs.
468|1|W/ 4WD 5-lug 1/2", 100. 5-lug 9/16", 120.
468|2|6-lug, steel whl., 90. 8-lug SRW, 120. 8-lug DRW, 140.
469|1|W/ 4WD if equipped with aluminum wheels, 90.
470|1|W 4WD if equipped with optional wheels, 100.
471|1|W/ 4WD if equipped with aluminum wheels, 87
472|1|W/ 4WD if equipped with styled wheels, 87-101.
473|1|W/ 4WD 12mm, 100 ft-lbs. 14mm, 150 ft-lbs
474|1|W/ 4WD loaded Vehicle, 165 ft-lbs.
475|1|With Steel wheel
476|1|Nut type Alloy rim
477|1|Nut  Alloy 2 piece
478|1|Bolt type Alloy rim
479|1|W/ code 98 133 ft-lbs, W/O code 98 96 ft-lbs.
480|1|W/ Steel wheel 177 ft-lbs, aluminum 133 ft-lbs.
481|1|W/ blue cone seats 111 ft-lbs, silver cone seats 140 ft-lbs.
482|1|W/O Chrome Wheel 88.5 ft-lbs, W/ Chrome Wheel 111 ft-lbs.
483|1|W/ FWD 103 ft-lbs, W/ AWD 89 ft-lbs.
484|1|W/ DRW
485|1|W/ SRW
486|1|Light Duty W/ 2WD
487|1|W/ 8-LUG
488|1|W/ 5-LUG
489|1|w/ 2WD, SRW
490|1|w/ 2WD, DRW
491|1|w/ 4WD, SRW
492|1|w/ 4WD, DRW
493|1|1 Ton SRW 76 ft-lbs, DRW 126 ft-lbs
494|1|Wagon 4Matic
495|1|2WD S-Runner, DLX
496|1|2WD, 4WD
497|1|W/ 4000# Rear Axle 175-225 ft-lbs,  W/O 4000# Rear Axle
497|2|85-125 ft-lbs.
498|1|W/ 12mm 100 ft-lbs, 14mm 150 ft-lbs.
499|1|W/ SOHC  65-87 ft-lbs, W/ DOHC 85-105 ft-lbs.
500|1|W/ CII 38
501|1|W/ CII 38. Then turn an additional 90 degrees
502|1|W/ 1LA, 1LD, 1LJ
503|1|W/ 1LA, 1LJ+FMO. Always replace bolts.
504|1|W/ 1LA, 1LJ+FMO.
505|1|W/ 1LK W/ FNR 42, 18"
506|1|W/ 1LK W/ FNR Caliper
507|1|W/ 1LK W/ FNR G57
508|1|Plus 30 Degrees
509|1|Wishbone Susp.
510|1|W/O M12 Bolts.
511|1|Late
512|1|W/ 1LZ
513|1|W/ 3.0L. Always replace bolts. Rear caliper bolt With M10
513|2|thread 48 ft-lbs; With M12 thread 81 ft-lbs.
514|1|W/ J92, JD9 2500
515|1|W/ Double Piston.
516|1|2WD
517|1|2WD. Key screws listed. Caliper mounting bolts,
517|2|155-185 ft-lbs.
518|1|W/ 1 Piston Caliper.
519|1|W/ FWD
520|1|W/ FWD. Then turn an additional 90 degrees
521|1|W/FN3, 15"
522|1|W/FN3, 16"
523|1|W/ 13 inch brakes
524|1|Sedan
525|1|Sedan. With solid rotor.
526|1|Sedan. With vented rotor.
527|1|Sedan. Always replace bolts.
528|1|Sedan. Always replace bolts. Rear caliper bolt tighten
528|2|additional 90°.
529|1|Coupe JE5/J55
530|1|W/ 15" Wheels
531|1|W/14" Wheels
532|1|W/ FN3 W/16" Wheels
533|1|W/ Single Rear Wheels
534|1|W/ 15" Wheels FN3
535|1|W/ 16" Wheels FN3
536|1|With Aluminum Wheels
537|1|W/O Aluminum Wheels
538|1|Front w/ washer bolt
539|1|Single Piston Caliper
540|1|W/ 4 Piston fixed Caliper.
541|1|W/ 4 Piston Caliper
542|1|W/ Small Bolts
543|1|TMMK
544|1|W/ 1LK, 1ZK
545|1|Brembo 1LP
546|1|1LM W/ FNR G57
547|1|Standard/Heavy Duty. Equipped with fixed caliper.
548|1|Standard/Heavy Duty.
549|1|W/ JC5/JH5
550|1|JH6/JH7
551|1|W/ JH6
552|1|AKEBONO
553|1|Non Natural Gas
554|1|To 1/1/76
555|1|1LG W/ FNR G60, 16"
556|1|1LG W/ FNR G60 Calip
557|1|W/ 1LU
558|1|Gasoline
559|1|W/ Twin Piston
560|1|W/ 1LV. Always replace bolts.
561|1|W/ 1LV.
562|1|1LH W/ FNR G60 Calip
563|1|To 1/89
564|1|17 Inch
565|1|W/O 4-Wheel Disc
566|1|W/ 4-Wheel Disc
567|1|W/ RPO J55
568|1|W/ 1KD, 2ED,1KW, 2EE
569|1|W/ J60, J61 Caliber
570|1|1500 W/ JC5/JH5
571|1|W/O RPO Code B07
572|1|W/O RPO Code B07. Then turn an additional 45 degrees
573|1|13'' Inch
574|1|W/ 1KZ, 1KE, 1KF
575|1|W/CLL 41 17"
576|1|W/CLL 41 17". Then turn an additional 90 degrees.
577|1|W/ Floating calipers. W/ fixed caliper, 195 ft-lbs.
587|1|W/ Floating calipers
588|1|W/ 2EH,1KP,GP0,GP1. Discs that have cracks more
588|2|than 1.18" in length, including the hole or cracks
588|3|that extend to the edge must be replaced.
589|1|W/ 1LB. Discs that have cracks more
589|2|than 1.18" in length, including the hole or cracks
589|3|that extend to the edge must be replaced.
590|1|W/ 1LB
591|1|W/ M10 Bolt(s)
592|1|M8X28 Bolts
593|1|Performace Brakes
594|1|R18A4 ENG
595|1|Rear
596|1|Rear. Always replace bolts.
597|1|Rear. Then turn an additional 25°
598|1|FWD: ATE, Kelsey
599|1|W/ Code B07.
600|1|W/ Code B07.  Do not loosen front caliper bolts.
600|2|The caliper and support must be removed complete,
600|3|otherwise alignment of the caliper to the brake disk
600|4|is not guaranteed.
601|1|W/ Code B07. Then turn an additional 45 degrees.
602|1|W/ High performanc
603|1|Up To 9/2002
604|1|Up To 9/2002. Front all with code Z07 + 979:
604|2|133 ft-lbs. All without code Z07 + 979 85 ft-lbs.
605|1|W/ V-6
606|1|W/ 1LJ. Always replace bolts.
607|1|W/ 1LJ.
608|1|W/ J92, JD9 1500
609|1|VA Type
610|1|W/ 1KW,1KY,1KZ. Always replace bolts.
611|1|W/ 1KW,1KY,1KZ. Then turn an additional 90 degrees.
612|1|Early
613|1|From 2/89
614|1|C1500, K1500
615|1|W/ V-8 (LSA)
616|1|W/ 1KK, 1KS, 1KV, 1KX
617|1|W/ 1LL.
618|1|W/ 1LL. Always replace bolts.
619|1|W/ JC5/JH5 Brakes
620|1|W/ 1KV
621|1|Front JE5
622|1|Front JE5.  Tighten an additional 30°.
623|1|Front. Tighten an additional 45 degrees.
624|1|Front. Then turn an additional 90 degrees.
625|1|Front. Always replace bolts.
626|1|W/ Brembo.With steel wheel carrier torque to 44 ft-lbs. With
626|2|aluminum wheel carrier 52 ft-lbs + 90 degrees. With FN-3.
627|1|W/ 16.0" disc
628|1|W/ 15.0" disc
629|1|Sliding Caliper
630|1|2WD, PD60 type
631|1|Lucas
632|1|RPO CODES LS4
633|1|W/ 2.8L. Caliper to bracket. Bracket to knuckle, 34 ft-lbs.
634|1|TMC
700|1|W/ 7/16" studs 80 ft-lbs, 1/2" studs 105 ft-lbs.
701|1|Police
702|1|Coupe
703|1|W/ Alum 7/16" Stud 90 ft-lbs, W/ Alum 1/2" Stud 105 ft-lbs
704|1|W/ 4-Cyl
705|1|Electric vehicle
706|1|Front
707|1|W/ SRW Rear
708|1|W/ DRW Rear
709|1|SVT
710|1|W/ RWD If equipped aluminum wheels, 58-73 ft-lbs.
711|1|W/ FWD If equipped aluminum wheels, 58-73 ft-lbs.
712|1|W/ RWD If equipped aluminum wheels, 87 ft-lbs.
713|1|W/ FWD If equipped aluminum wheels, 87 ft-lbs.
714|1|Minimum measurement value brake pad (x2) + brake disc
714|2|wheel size 16.5" 1.5 in, wheel size 17.5" 1.26 in,
714|3|wheel size 17"2 FN 1.34 in.
715|1|Thru 2/89
716|1|From 2/89
717|1|6-Cyl
718|1|Coupe,Wagon,CTS-V
719|1|W/ RPO J57
720|1|With RPO code JD9
721|1|With RPO code J95
722|1|With RPO code J96
723|1|With base brakes.
724|1|With premium brakes.
725|1|With 17" solid rotors.
726|1|With 17" vented rotors.
727|1|With 10.83" rotor.
728|1|With 11.70" rotor.
729|1|W/ 17" black caliper. Turn and additional 90°. Always
729|2|bolts after removal.
730|1|W/O 17" black caliper.
731|1|W/ JC5/JH5 caliper.
732|1|W/ JH6 caliper.
733|1|Allowable variation of disc pads 0.0004
734|1|Turn an additional 90°. Use new bolts.
735|1|Tighten another 20° to 30°.
736|1|Turn an additional 30° to 45°.
737|1|Replace bolts. Turn an additional 15° to 30°.
738|1|Front caliper top bolt, 18 ft-lbs. Front caliper bottom
738|2|bolt, 20 ft-lbs.
739|1|Vehicles with EPB, 36-43 ft-lbs.
740|1|Pad guide tie rods for fixed caliper.
741|1|Always replace bolts. Tighten an additional 75°.
742|1|With code P98, tighten to 133 ft-lbs. Without code P98,
742|2|tighten to 96 ft-lbs.
743|1|Front caliper bolts with M8X70 bolt, tighten to 21 ft-lbs.
743|2|With M8X28 bolt, tighten to 25 ft-lbs.
744|1|M8x1 bolt, 23 ft-lbs; M10x1.25 bolt, 48 ft-lbs.
745|1|With M14x1.5 bolt: Tighten to 59 ft-lbs then turn an
745|2|additional 30°. With M16x1.5 bolt: Tighten to 59 ft-lbs
745|3|then turn an additional 40°.
746|1|Always replace bolts. Turn an additional 90°.
747|1|With SW9 bolts.
748|1|With SW7 bolts.
749|1|With WAF 7 bolts. Replace bolts.
750|1|With WAF 13 bolts. Replace bolts.
751|1|With SW8 bolts.
753|1|Without 4Matic and code 1U9, with code 950/P96/951, 460/951,
753|2|and 494.
755|1|With codes 950/951/952/P96.
756|1|Without codes 950/951/952/P96.
757|1|Without code P31, with code 494+P31, BlueTEC without code
757|2|Z04/Z05.
758|1|With code P31 and without code 494, BlueTEC with code
758|2|Z04/Z05.
759|1|Without code 494, with code 494+P31, BlueTEC with code
759|2|Z04/Z05.
780|1|With code 494 and without code P31, BlueTEC without code
780|2|P31/Z04/Z05.
781|1|V Series, 110 ft-lbs. Non V Series, 100 ft-lbs.
782|1|Use new bolts. Tighten an additional 45° plus an additional
782|2|15°.
783|1|Use new bolts. Tighten an additional 60°.
784|1|Vehicles with ABS: Bleed brake system using the WDS unit.
785|1|Tighten bolt w/washer, 98 ft-lbs; w/o washer, 91 ft-lbs.
786|1|Heavy Duty
787|1|Discs w/o Front indentation (Type A).
788|1|Dics w/Front indentation (Type B).
789|1|Turn an additional 45° to 60°.
790|1|Tighten another 20° to 35°.
791|1|Nominal thickness can vary from .940 to .952 inch
792|1|Nominal thickness can vary from 1.098 to 1.110 inch
793|1|Nominal thickness can vary from 1.251 to 1.224 inch
794|1|Nominal thickness can vary from .625 to .637 inch
795|1|With cone style nut, 130 ft-lbs. With flanged style nut
795|2|140 ft-lbs.
796|1|Front bolts with 12 mm bolts, 66 ft-lbs + 120°.
796|2|With 14 mm bolts 148 ft-lbs. Install new bolts.
797|1|With steel wheel, 148 ft-lbs. With alloy wheel, 133 ft-lbs.
798|1|Without 4Matic W/ code 1U9, W/O code  460, 494, 950, 951
798|2|and P96.
799|1|Without codes 1U9, 460, 494, 950, 951, P96
800|1|Without codes 950/951/951P96
801|1|With codes 950/951/951P96
802|1|Measure the disc runout @ 10 mm (0.394) away from
802|2|the outer edge on the vehicle; tighten lug nuts to
802|3|specification.
803|1|Tighten in 3 steps: 1st 3 ft-lbs, 2nd 39 ft-lbs,
803|2|3rd 103 ft-lbs.
804|1|If using wrench size 9mm.
805|1|Nominal thickness can vary from 1.097 to 1.107 inch
806|1|Uneven at 1 position, .0003; uneven at 2 positions, .0002;
806|2|uneven at 3 positions, .0002; uneven at 4 positions or more,
806|3|not allowed.
807|1|Cone type nut.
808|1|Flanged type nut.
809|1|Tighten to 65 - 79 ft lbs.
810|1|Tighten to 79 - 94 ft lbs.
811|1|With M12 bolt, 89ft-lbs. With M14 bolt, 59ft-lbs, then turn
811|2|an additional 45 degrees.
812|1|Install new bolts.
813|1|Always replace bolts. Turn an additional 70°.
814|1|Install new bolts. Turn an additional 45° to 60°.
815|1|Install new bolts. Tighten to another 60 to 75 degrees.
816|1|Install new bolts. Tighten an additional 20 degrees.
817|1|Nominal thickness can vary from 1.264 to 1.256 inch
818|1|Brake discs need to be replaced every time the pads
818|2|are changed.
